GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-614301ad-da52-aeb4-f2e9-e6725ab87783)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.2687', 'grad_norm': '25.59', 'learning_rate': '1.765e-05', 'epoch': '0.939'}
{'loss': '0.2584', 'grad_norm': '70.37', 'learning_rate': '1.764e-05', 'epoch': '0.9451'}
{'loss': '0.316', 'grad_norm': '27.2', 'learning_rate': '1.762e-05', 'epoch': '0.9512'}
{'loss': '0.3162', 'grad_norm': '54.8', 'learning_rate': '1.761e-05', 'epoch': '0.9573'}
{'loss': '0.2437', 'grad_norm': '22.06', 'learning_rate': '1.759e-05', 'epoch': '0.9634'}
{'loss': '0.3181', 'grad_norm': '38.52', 'learning_rate': '1.758e-05', 'epoch': '0.9695'}
{'loss': '0.2672', 'grad_norm': '59.29', 'learning_rate': '1.756e-05', 'epoch': '0.9756'}
{'loss': '0.2543', 'grad_norm': '250.5', 'learning_rate': '1.755e-05', 'epoch': '0.9817'}
{'loss': '0.3057', 'grad_norm': '40.31', 'learning_rate': '1.753e-05', 'epoch': '0.9878'}
{'loss': '0.2498', 'grad_norm': '32.03', 'learning_rate': '1.752e-05', 'epoch': '0.9939'}
{'loss': '0.2311', 'grad_norm': '27.24', 'learning_rate': '1.75e-05', 'epoch': '1'}
{'eval_loss': '0.2788', 'eval_accuracy': '0.8894', 'eval_precision': '0.8763', 'eval_recall': '0.9332', 'eval_f1': '0.9038', 'eval_runtime': '11.83', 'eval_samples_per_second': '1109', 'eval_steps_per_second': '17.32', 'epoch': '1'}
{'loss': '0.2813', 'grad_norm': '20.1', 'learning_rate': '1.749e-05', 'epoch': '1.006'}
{'loss': '0.3264', 'grad_norm': '72.89', 'learning_rate': '1.747e-05', 'epoch': '1.012'}
{'loss': '0.2898', 'grad_norm': '26.39', 'learning_rate': '1.746e-05', 'epoch': '1.018'}
{'loss': '0.2582', 'grad_norm': '21.32', 'learning_rate': '1.744e-05', 'epoch': '1.024'}
{'loss': '0.2178', 'grad_norm': '29.01', 'learning_rate': '1.743e-05', 'epoch': '1.03'}
{'loss': '0.3023', 'grad_norm': '61.04', 'learning_rate': '1.741e-05', 'epoch': '1.037'}
{'loss': '0.298', 'grad_norm': '24.85', 'learning_rate': '1.739e-05', 'epoch': '1.043'}
{'loss': '0.2627', 'grad_norm': '21.34', 'learning_rate': '1.738e-05', 'epoch': '1.049'}
{'loss': '0.2731', 'grad_norm': '22.01', 'learning_rate': '1.736e-05', 'epoch': '1.055'}
{'loss': '0.2532', 'grad_norm': '23.48', 'learning_rate': '1.735e-05', 'epoch': '1.061'}
{'loss': '0.2504', 'grad_norm': '39.3', 'learning_rate': '1.733e-05', 'epoch': '1.067'}
{'loss': '0.2568', 'grad_norm': '19.23', 'learning_rate': '1.732e-05', 'epoch': '1.073'}
{'loss': '0.2819', 'grad_norm': '29.89', 'learning_rate': '1.73e-05', 'epoch': '1.079'}
{'loss': '0.2237', 'grad_norm': '12.33', 'learning_rate': '1.729e-05', 'epoch': '1.085'}
{'loss': '0.2372', 'grad_norm': '21.71', 'learning_rate': '1.727e-05', 'epoch': '1.091'}
{'loss': '0.2309', 'grad_norm': '27.36', 'learning_rate': '1.726e-05', 'epoch': '1.098'}
{'loss': '0.2881', 'grad_norm': '61', 'learning_rate': '1.724e-05', 'epoch': '1.104'}
{'loss': '0.2035', 'grad_norm': '16.6', 'learning_rate': '1.723e-05', 'epoch': '1.11'}
{'loss': '0.2255', 'grad_norm': '21.33', 'learning_rate': '1.721e-05', 'epoch': '1.116'}
{'loss': '0.2821', 'grad_norm': '56.57', 'learning_rate': '1.72e-05', 'epoch': '1.122'}
{'loss': '0.2064', 'grad_norm': '30.21', 'learning_rate': '1.718e-05', 'epoch': '1.128'}
{'loss': '0.2654', 'grad_norm': '23.22', 'learning_rate': '1.717e-05', 'epoch': '1.134'}
{'loss': '0.2496', 'grad_norm': '15.29', 'learning_rate': '1.715e-05', 'epoch': '1.14'}
{'loss': '0.2314', 'grad_norm': '12.34', 'learning_rate': '1.714e-05', 'epoch': '1.146'}
{'loss': '0.2482', 'grad_norm': '15.66', 'learning_rate': '1.712e-05', 'epoch': '1.152'}
{'loss': '0.2791', 'grad_norm': '16.16', 'learning_rate': '1.711e-05', 'epoch': '1.159'}
{'loss': '0.2026', 'grad_norm': '24.89', 'learning_rate': '1.709e-05', 'epoch': '1.165'}
{'loss': '0.2115', 'grad_norm': '25.17', 'learning_rate': '1.707e-05', 'epoch': '1.171'}
{'loss': '0.2407', 'grad_norm': '23.51', 'learning_rate': '1.706e-05', 'epoch': '1.177'}
{'loss': '0.2092', 'grad_norm': '12.1', 'learning_rate': '1.704e-05', 'epoch': '1.183'}
{'loss': '0.249', 'grad_norm': '15.13', 'learning_rate': '1.703e-05', 'epoch': '1.189'}
{'loss': '0.2091', 'grad_norm': '23.78', 'learning_rate': '1.701e-05', 'epoch': '1.195'}
{'loss': '0.2139', 'grad_norm': '18.83', 'learning_rate': '1.7e-05', 'epoch': '1.201'}
{'loss': '0.2127', 'grad_norm': '24.49', 'learning_rate': '1.698e-05', 'epoch': '1.207'}
{'loss': '0.2058', 'grad_norm': '32.68', 'learning_rate': '1.697e-05', 'epoch': '1.213'}
{'loss': '0.2384', 'grad_norm': '24.41', 'learning_rate': '1.695e-05', 'epoch': '1.22'}
{'loss': '0.2071', 'grad_norm': '26.93', 'learning_rate': '1.694e-05', 'epoch': '1.226'}
{'loss': '0.2074', 'grad_norm': '52.19', 'learning_rate': '1.692e-05', 'epoch': '1.232'}
{'loss': '0.3216', 'grad_norm': '16.73', 'learning_rate': '1.691e-05', 'epoch': '1.238'}
{'loss': '0.1413', 'grad_norm': '20.92', 'learning_rate': '1.689e-05', 'epoch': '1.244'}
{'loss': '0.2242', 'grad_norm': '12.87', 'learning_rate': '1.688e-05', 'epoch': '1.25'}
{'loss': '0.2523', 'grad_norm': '130.7', 'learning_rate': '1.686e-05', 'epoch': '1.256'}
{'loss': '0.2709', 'grad_norm': '28.33', 'learning_rate': '1.685e-05', 'epoch': '1.262'}
{'loss': '0.2076', 'grad_norm': '40.39', 'learning_rate': '1.683e-05', 'epoch': '1.268'}
{'loss': '0.2124', 'grad_norm': '26.59', 'learning_rate': '1.682e-05', 'epoch': '1.274'}
{'loss': '0.2169', 'grad_norm': '7.437', 'learning_rate': '1.68e-05', 'epoch': '1.28'}
{'loss': '0.2332', 'grad_norm': '12.24', 'learning_rate': '1.679e-05', 'epoch': '1.287'}
{'loss': '0.1866', 'grad_norm': '57.92', 'learning_rate': '1.677e-05', 'epoch': '1.293'}
{'loss': '0.1891', 'grad_norm': '80.57', 'learning_rate': '1.675e-05', 'epoch': '1.299'}
{'loss': '0.2401', 'grad_norm': '14.07', 'learning_rate': '1.674e-05', 'epoch': '1.305'}
{'loss': '0.1915', 'grad_norm': '35.69', 'learning_rate': '1.672e-05', 'epoch': '1.311'}
{'loss': '0.2402', 'grad_norm': '10.43', 'learning_rate': '1.671e-05', 'epoch': '1.317'}
{'loss': '0.1726', 'grad_norm': '13.21', 'learning_rate': '1.669e-05', 'epoch': '1.323'}
{'loss': '0.1528', 'grad_norm': '9.363', 'learning_rate': '1.668e-05', 'epoch': '1.329'}
{'loss': '0.2536', 'grad_norm': '31.23', 'learning_rate': '1.666e-05', 'epoch': '1.335'}
{'loss': '0.1825', 'grad_norm': '19.64', 'learning_rate': '1.665e-05', 'epoch': '1.341'}
{'loss': '0.1835', 'grad_norm': '48.81', 'learning_rate': '1.663e-05', 'epoch': '1.348'}
{'loss': '0.1872', 'grad_norm': '17.07', 'learning_rate': '1.662e-05', 'epoch': '1.354'}
{'loss': '0.2524', 'grad_norm': '18.53', 'learning_rate': '1.66e-05', 'epoch': '1.36'}
{'loss': '0.1526', 'grad_norm': '23.49', 'learning_rate': '1.659e-05', 'epoch': '1.366'}
{'loss': '0.1676', 'grad_norm': '82.04', 'learning_rate': '1.657e-05', 'epoch': '1.372'}
{'loss': '0.1884', 'grad_norm': '14.11', 'learning_rate': '1.656e-05', 'epoch': '1.378'}
{'loss': '0.1998', 'grad_norm': '10.04', 'learning_rate': '1.654e-05', 'epoch': '1.384'}
{'loss': '0.1649', 'grad_norm': '8.226', 'learning_rate': '1.653e-05', 'epoch': '1.39'}
{'loss': '0.1922', 'grad_norm': '20.59', 'learning_rate': '1.651e-05', 'epoch': '1.396'}
{'loss': '0.185', 'grad_norm': '53.78', 'learning_rate': '1.65e-05', 'epoch': '1.402'}
{'loss': '0.1608', 'grad_norm': '15.15', 'learning_rate': '1.648e-05', 'epoch': '1.409'}
{'loss': '0.2165', 'grad_norm': '8.8', 'learning_rate': '1.646e-05', 'epoch': '1.415'}
{'loss': '0.195', 'grad_norm': '8.843', 'learning_rate': '1.645e-05', 'epoch': '1.421'}
{'loss': '0.2149', 'grad_norm': '16.39', 'learning_rate': '1.643e-05', 'epoch': '1.427'}
{'loss': '0.1744', 'grad_norm': '8.375', 'learning_rate': '1.642e-05', 'epoch': '1.433'}
{'loss': '0.1703', 'grad_norm': '26.43', 'learning_rate': '1.64e-05', 'epoch': '1.439'}
{'loss': '0.2285', 'grad_norm': '38.17', 'learning_rate': '1.639e-05', 'epoch': '1.445'}
{'loss': '0.2046', 'grad_norm': '35.66', 'learning_rate': '1.637e-05', 'epoch': '1.451'}
{'loss': '0.1842', 'grad_norm': '53.53', 'learning_rate': '1.636e-05', 'epoch': '1.457'}
{'loss': '0.2594', 'grad_norm': '79.69', 'learning_rate': '1.634e-05', 'epoch': '1.463'}
{'loss': '0.2258', 'grad_norm': '34.63', 'learning_rate': '1.633e-05', 'epoch': '1.47'}
{'loss': '0.2056', 'grad_norm': '25.11', 'learning_rate': '1.631e-05', 'epoch': '1.476'}
{'loss': '0.1639', 'grad_norm': '20.72', 'learning_rate': '1.63e-05', 'epoch': '1.482'}
{'loss': '0.2326', 'grad_norm': '16.97', 'learning_rate': '1.628e-05', 'epoch': '1.488'}
{'loss': '0.1873', 'grad_norm': '40.62', 'learning_rate': '1.627e-05', 'epoch': '1.494'}
{'loss': '0.1571', 'grad_norm': '55.24', 'learning_rate': '1.625e-05', 'epoch': '1.5'}
{'loss': '0.1662', 'grad_norm': '4.073', 'learning_rate': '1.624e-05', 'epoch': '1.506'}
{'loss': '0.2124', 'grad_norm': '33.09', 'learning_rate': '1.622e-05', 'epoch': '1.512'}
