GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.4037', 'grad_norm': '42.08', 'learning_rate': '1.988e-05', 'epoch': '0.6083'}
{'loss': '0.412', 'grad_norm': '39.33', 'learning_rate': '1.988e-05', 'epoch': '0.6144'}
{'loss': '0.4297', 'grad_norm': '195.7', 'learning_rate': '1.988e-05', 'epoch': '0.6204'}
{'loss': '0.4296', 'grad_norm': '23.47', 'learning_rate': '1.987e-05', 'epoch': '0.6265'}
{'loss': '0.4664', 'grad_norm': '66.57', 'learning_rate': '1.987e-05', 'epoch': '0.6326'}
{'loss': '0.3957', 'grad_norm': '76.57', 'learning_rate': '1.987e-05', 'epoch': '0.6387'}
{'loss': '0.3728', 'grad_norm': '27.8', 'learning_rate': '1.987e-05', 'epoch': '0.6448'}
{'loss': '0.405', 'grad_norm': '246.7', 'learning_rate': '1.987e-05', 'epoch': '0.6509'}
{'loss': '0.4359', 'grad_norm': '55.21', 'learning_rate': '1.987e-05', 'epoch': '0.6569'}
{'loss': '0.3805', 'grad_norm': '26.06', 'learning_rate': '1.987e-05', 'epoch': '0.663'}
{'loss': '0.3714', 'grad_norm': '20.32', 'learning_rate': '1.987e-05', 'epoch': '0.6691'}
{'loss': '0.3406', 'grad_norm': '117.5', 'learning_rate': '1.987e-05', 'epoch': '0.6752'}
{'loss': '0.3391', 'grad_norm': '56.83', 'learning_rate': '1.986e-05', 'epoch': '0.6813'}
{'loss': '0.3739', 'grad_norm': '44.46', 'learning_rate': '1.986e-05', 'epoch': '0.6873'}
{'loss': '0.3118', 'grad_norm': '34.73', 'learning_rate': '1.986e-05', 'epoch': '0.6934'}
{'loss': '0.3585', 'grad_norm': '73.56', 'learning_rate': '1.986e-05', 'epoch': '0.6995'}
{'loss': '0.3687', 'grad_norm': '68.13', 'learning_rate': '1.986e-05', 'epoch': '0.7056'}
{'loss': '0.3165', 'grad_norm': '86.06', 'learning_rate': '1.986e-05', 'epoch': '0.7117'}
{'loss': '0.3529', 'grad_norm': '32.43', 'learning_rate': '1.986e-05', 'epoch': '0.7178'}
{'loss': '0.3916', 'grad_norm': '81.86', 'learning_rate': '1.986e-05', 'epoch': '0.7238'}
{'loss': '0.3213', 'grad_norm': '36.63', 'learning_rate': '1.985e-05', 'epoch': '0.7299'}
{'loss': '0.3355', 'grad_norm': '101.9', 'learning_rate': '1.985e-05', 'epoch': '0.736'}
{'loss': '0.3192', 'grad_norm': '52.23', 'learning_rate': '1.985e-05', 'epoch': '0.7421'}
