GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.1075', 'grad_norm': '13.06', 'learning_rate': '1.985e-05', 'epoch': '0.75'}
{'loss': '0.05437', 'grad_norm': '20.31', 'learning_rate': '1.985e-05', 'epoch': '0.7561'}
{'loss': '0.01408', 'grad_norm': '38.47', 'learning_rate': '1.985e-05', 'epoch': '0.7622'}
{'loss': '0.02619', 'grad_norm': '10.9', 'learning_rate': '1.985e-05', 'epoch': '0.7683'}
{'loss': '0.04765', 'grad_norm': '0.4047', 'learning_rate': '1.985e-05', 'epoch': '0.7744'}
{'loss': '0.051', 'grad_norm': '24.82', 'learning_rate': '1.984e-05', 'epoch': '0.7805'}
{'loss': '0.02186', 'grad_norm': '0.2997', 'learning_rate': '1.984e-05', 'epoch': '0.7866'}
{'loss': '0.02355', 'grad_norm': '0.3364', 'learning_rate': '1.984e-05', 'epoch': '0.7927'}
{'loss': '0.05802', 'grad_norm': '7.939', 'learning_rate': '1.984e-05', 'epoch': '0.7988'}
{'loss': '0.007133', 'grad_norm': '0.03837', 'learning_rate': '1.984e-05', 'epoch': '0.8049'}
{'loss': '0.02301', 'grad_norm': '0.02774', 'learning_rate': '1.984e-05', 'epoch': '0.811'}
{'loss': '0.02863', 'grad_norm': '0.0277', 'learning_rate': '1.984e-05', 'epoch': '0.8171'}
{'loss': '0.02081', 'grad_norm': '0.04023', 'learning_rate': '1.984e-05', 'epoch': '0.8232'}
{'loss': '0.0313', 'grad_norm': '0.09012', 'learning_rate': '1.983e-05', 'epoch': '0.8293'}
{'loss': '0.06464', 'grad_norm': '3.382', 'learning_rate': '1.983e-05', 'epoch': '0.8354'}
{'loss': '0.01634', 'grad_norm': '0.2371', 'learning_rate': '1.983e-05', 'epoch': '0.8415'}
{'loss': '0.02563', 'grad_norm': '0.0258', 'learning_rate': '1.983e-05', 'epoch': '0.8476'}
{'loss': '0.08568', 'grad_norm': '0.2761', 'learning_rate': '1.983e-05', 'epoch': '0.8537'}
{'loss': '0.009363', 'grad_norm': '2.036', 'learning_rate': '1.983e-05', 'epoch': '0.8598'}
{'loss': '0.01829', 'grad_norm': '0.05137', 'learning_rate': '1.983e-05', 'epoch': '0.8659'}
{'loss': '0.1105', 'grad_norm': '2.832', 'learning_rate': '1.983e-05', 'epoch': '0.872'}
{'loss': '0.02758', 'grad_norm': '0.02383', 'learning_rate': '1.982e-05', 'epoch': '0.878'}
{'loss': '0.03375', 'grad_norm': '28.8', 'learning_rate': '1.982e-05', 'epoch': '0.8841'}
{'loss': '0.02571', 'grad_norm': '0.1843', 'learning_rate': '1.982e-05', 'epoch': '0.8902'}
{'loss': '0.02473', 'grad_norm': '5.689', 'learning_rate': '1.982e-05', 'epoch': '0.8963'}
{'loss': '0.06634', 'grad_norm': '0.1023', 'learning_rate': '1.982e-05', 'epoch': '0.9024'}
{'loss': '0.05128', 'grad_norm': '0.241', 'learning_rate': '1.982e-05', 'epoch': '0.9085'}
{'loss': '0.03768', 'grad_norm': '0.08585', 'learning_rate': '1.982e-05', 'epoch': '0.9146'}
{'loss': '0.02112', 'grad_norm': '8.443', 'learning_rate': '1.982e-05', 'epoch': '0.9207'}
{'loss': '0.0366', 'grad_norm': '2.5', 'learning_rate': '1.981e-05', 'epoch': '0.9268'}
{'loss': '0.02793', 'grad_norm': '3.461', 'learning_rate': '1.981e-05', 'epoch': '0.9329'}
{'loss': '0.02888', 'grad_norm': '0.01972', 'learning_rate': '1.981e-05', 'epoch': '0.939'}
{'loss': '0.03359', 'grad_norm': '0.01451', 'learning_rate': '1.981e-05', 'epoch': '0.9451'}
{'loss': '0.05597', 'grad_norm': '0.2011', 'learning_rate': '1.981e-05', 'epoch': '0.9512'}
{'loss': '0.00828', 'grad_norm': '5.793', 'learning_rate': '1.981e-05', 'epoch': '0.9573'}
{'loss': '0.01757', 'grad_norm': '1.091', 'learning_rate': '1.981e-05', 'epoch': '0.9634'}
{'loss': '0.01854', 'grad_norm': '0.01333', 'learning_rate': '1.981e-05', 'epoch': '0.9695'}
{'loss': '0.03242', 'grad_norm': '0.008892', 'learning_rate': '1.981e-05', 'epoch': '0.9756'}
{'loss': '0.01497', 'grad_norm': '18.54', 'learning_rate': '1.98e-05', 'epoch': '0.9817'}
{'loss': '0.01633', 'grad_norm': '0.03429', 'learning_rate': '1.98e-05', 'epoch': '0.9878'}
{'loss': '0.01215', 'grad_norm': '3.039', 'learning_rate': '1.98e-05', 'epoch': '0.9939'}
{'loss': '0.002113', 'grad_norm': '0.01053', 'learning_rate': '1.98e-05', 'epoch': '1'}
{'eval_loss': '0.01421', 'eval_accuracy': '0.9959', 'eval_precision': '0.9978', 'eval_recall': '0.9948', 'eval_f1': '0.9963', 'eval_runtime': '3.461', 'eval_samples_per_second': '3791', 'eval_steps_per_second': '59.24', 'epoch': '1'}
{'loss': '0.01533', 'grad_norm': '0.009883', 'learning_rate': '1.98e-05', 'epoch': '1.006'}
{'loss': '0.005277', 'grad_norm': '6.807', 'learning_rate': '1.98e-05', 'epoch': '1.012'}
{'loss': '0.0008576', 'grad_norm': '0.008985', 'learning_rate': '1.98e-05', 'epoch': '1.018'}
{'loss': '0.0421', 'grad_norm': '0.04108', 'learning_rate': '1.98e-05', 'epoch': '1.024'}
{'loss': '0.06964', 'grad_norm': '0.006263', 'learning_rate': '1.979e-05', 'epoch': '1.03'}
{'loss': '0.004184', 'grad_norm': '0.008652', 'learning_rate': '1.979e-05', 'epoch': '1.037'}
{'loss': '0.06393', 'grad_norm': '0.1794', 'learning_rate': '1.979e-05', 'epoch': '1.043'}
{'loss': '0.01705', 'grad_norm': '0.007004', 'learning_rate': '1.979e-05', 'epoch': '1.049'}
{'loss': '0.06168', 'grad_norm': '0.1014', 'learning_rate': '1.979e-05', 'epoch': '1.055'}
