GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.5415', 'grad_norm': '62.6', 'learning_rate': '1.886e-05', 'epoch': '0.4562'}
{'loss': '0.5465', 'grad_norm': '358.4', 'learning_rate': '1.885e-05', 'epoch': '0.4623'}
{'loss': '0.5436', 'grad_norm': '117.6', 'learning_rate': '1.883e-05', 'epoch': '0.4684'}
{'loss': '0.5291', 'grad_norm': '106.4', 'learning_rate': '1.882e-05', 'epoch': '0.4745'}
{'loss': '0.4998', 'grad_norm': '167.4', 'learning_rate': '1.88e-05', 'epoch': '0.4805'}
{'loss': '0.5518', 'grad_norm': '481.7', 'learning_rate': '1.878e-05', 'epoch': '0.4866'}
{'loss': '0.5107', 'grad_norm': '105.4', 'learning_rate': '1.877e-05', 'epoch': '0.4927'}
{'loss': '0.5217', 'grad_norm': '75.38', 'learning_rate': '1.875e-05', 'epoch': '0.4988'}
{'loss': '0.4898', 'grad_norm': '104.3', 'learning_rate': '1.874e-05', 'epoch': '0.5049'}
{'loss': '0.5085', 'grad_norm': '200.7', 'learning_rate': '1.872e-05', 'epoch': '0.5109'}
{'loss': '0.5756', 'grad_norm': '87.77', 'learning_rate': '1.871e-05', 'epoch': '0.517'}
{'loss': '0.5039', 'grad_norm': '144.5', 'learning_rate': '1.869e-05', 'epoch': '0.5231'}
{'loss': '0.4861', 'grad_norm': '62.01', 'learning_rate': '1.868e-05', 'epoch': '0.5292'}
{'loss': '0.4746', 'grad_norm': '89.57', 'learning_rate': '1.866e-05', 'epoch': '0.5353'}
{'loss': '0.521', 'grad_norm': '108.6', 'learning_rate': '1.865e-05', 'epoch': '0.5414'}
{'loss': '0.4702', 'grad_norm': '63.98', 'learning_rate': '1.863e-05', 'epoch': '0.5474'}
{'loss': '0.4675', 'grad_norm': '101.2', 'learning_rate': '1.862e-05', 'epoch': '0.5535'}
{'loss': '0.468', 'grad_norm': '35.51', 'learning_rate': '1.86e-05', 'epoch': '0.5596'}
{'loss': '0.5089', 'grad_norm': '33.07', 'learning_rate': '1.859e-05', 'epoch': '0.5657'}
{'loss': '0.5136', 'grad_norm': '76.58', 'learning_rate': '1.857e-05', 'epoch': '0.5718'}
{'loss': '0.4771', 'grad_norm': '80.53', 'learning_rate': '1.856e-05', 'epoch': '0.5779'}
{'loss': '0.4934', 'grad_norm': '61.51', 'learning_rate': '1.854e-05', 'epoch': '0.5839'}
{'loss': '0.5072', 'grad_norm': '105.6', 'learning_rate': '1.853e-05', 'epoch': '0.59'}
{'loss': '0.4996', 'grad_norm': '73.48', 'learning_rate': '1.851e-05', 'epoch': '0.5961'}
{'loss': '0.4723', 'grad_norm': '96.81', 'learning_rate': '1.85e-05', 'epoch': '0.6022'}
{'loss': '0.4581', 'grad_norm': '149.3', 'learning_rate': '1.848e-05', 'epoch': '0.6083'}
{'loss': '0.4549', 'grad_norm': '49.82', 'learning_rate': '1.847e-05', 'epoch': '0.6144'}
{'loss': '0.5018', 'grad_norm': '72.62', 'learning_rate': '1.845e-05', 'epoch': '0.6204'}
{'loss': '0.4927', 'grad_norm': '69.96', 'learning_rate': '1.844e-05', 'epoch': '0.6265'}
{'loss': '0.5033', 'grad_norm': '96.69', 'learning_rate': '1.842e-05', 'epoch': '0.6326'}
{'loss': '0.4318', 'grad_norm': '92.53', 'learning_rate': '1.84e-05', 'epoch': '0.6387'}
{'loss': '0.4569', 'grad_norm': '105.7', 'learning_rate': '1.839e-05', 'epoch': '0.6448'}
{'loss': '0.4744', 'grad_norm': '235.2', 'learning_rate': '1.837e-05', 'epoch': '0.6509'}
{'loss': '0.5057', 'grad_norm': '27.45', 'learning_rate': '1.836e-05', 'epoch': '0.6569'}
{'loss': '0.4474', 'grad_norm': '450', 'learning_rate': '1.834e-05', 'epoch': '0.663'}
{'loss': '0.4374', 'grad_norm': '118', 'learning_rate': '1.833e-05', 'epoch': '0.6691'}
{'loss': '0.4027', 'grad_norm': '63', 'learning_rate': '1.831e-05', 'epoch': '0.6752'}
{'loss': '0.4255', 'grad_norm': '96.26', 'learning_rate': '1.83e-05', 'epoch': '0.6813'}
{'loss': '0.4292', 'grad_norm': '77.9', 'learning_rate': '1.828e-05', 'epoch': '0.6873'}
{'loss': '0.378', 'grad_norm': '99.09', 'learning_rate': '1.827e-05', 'epoch': '0.6934'}
{'loss': '0.4168', 'grad_norm': '122.3', 'learning_rate': '1.825e-05', 'epoch': '0.6995'}
{'loss': '0.4058', 'grad_norm': '76.7', 'learning_rate': '1.824e-05', 'epoch': '0.7056'}
{'loss': '0.4322', 'grad_norm': '227.6', 'learning_rate': '1.822e-05', 'epoch': '0.7117'}
{'loss': '0.4161', 'grad_norm': '51.74', 'learning_rate': '1.821e-05', 'epoch': '0.7178'}
{'loss': '0.4289', 'grad_norm': '48.42', 'learning_rate': '1.819e-05', 'epoch': '0.7238'}
{'loss': '0.4154', 'grad_norm': '224.1', 'learning_rate': '1.818e-05', 'epoch': '0.7299'}
{'loss': '0.397', 'grad_norm': '165.7', 'learning_rate': '1.816e-05', 'epoch': '0.736'}
{'loss': '0.407', 'grad_norm': '91.07', 'learning_rate': '1.815e-05', 'epoch': '0.7421'}
{'loss': '0.4594', 'grad_norm': '30.94', 'learning_rate': '1.813e-05', 'epoch': '0.7482'}
{'loss': '0.3567', 'grad_norm': '44.04', 'learning_rate': '1.812e-05', 'epoch': '0.7543'}
{'loss': '0.4175', 'grad_norm': '167.8', 'learning_rate': '1.81e-05', 'epoch': '0.7603'}
{'loss': '0.352', 'grad_norm': '51.01', 'learning_rate': '1.809e-05', 'epoch': '0.7664'}
{'loss': '0.3799', 'grad_norm': '232.9', 'learning_rate': '1.807e-05', 'epoch': '0.7725'}
{'loss': '0.4536', 'grad_norm': '48.81', 'learning_rate': '1.806e-05', 'epoch': '0.7786'}
{'loss': '0.3622', 'grad_norm': '44.32', 'learning_rate': '1.804e-05', 'epoch': '0.7847'}
{'loss': '0.4398', 'grad_norm': '278.6', 'learning_rate': '1.802e-05', 'epoch': '0.7908'}
{'loss': '0.417', 'grad_norm': '46.65', 'learning_rate': '1.801e-05', 'epoch': '0.7968'}
{'loss': '0.4441', 'grad_norm': '158.5', 'learning_rate': '1.799e-05', 'epoch': '0.8029'}
{'loss': '0.3474', 'grad_norm': '115.2', 'learning_rate': '1.798e-05', 'epoch': '0.809'}
{'loss': '0.3801', 'grad_norm': '74.36', 'learning_rate': '1.796e-05', 'epoch': '0.8151'}
{'loss': '0.3498', 'grad_norm': '198.8', 'learning_rate': '1.795e-05', 'epoch': '0.8212'}
{'loss': '0.4044', 'grad_norm': '45.05', 'learning_rate': '1.793e-05', 'epoch': '0.8273'}
{'loss': '0.3765', 'grad_norm': '100.7', 'learning_rate': '1.792e-05', 'epoch': '0.8333'}
{'loss': '0.437', 'grad_norm': '270.6', 'learning_rate': '1.79e-05', 'epoch': '0.8394'}
{'loss': '0.4175', 'grad_norm': '151.7', 'learning_rate': '1.789e-05', 'epoch': '0.8455'}
{'loss': '0.396', 'grad_norm': '89.91', 'learning_rate': '1.787e-05', 'epoch': '0.8516'}
{'loss': '0.399', 'grad_norm': '156.6', 'learning_rate': '1.786e-05', 'epoch': '0.8577'}
{'loss': '0.4585', 'grad_norm': '66.25', 'learning_rate': '1.784e-05', 'epoch': '0.8637'}
{'loss': '0.3471', 'grad_norm': '62.96', 'learning_rate': '1.783e-05', 'epoch': '0.8698'}
{'loss': '0.3387', 'grad_norm': '94.38', 'learning_rate': '1.781e-05', 'epoch': '0.8759'}
{'loss': '0.3098', 'grad_norm': '46.47', 'learning_rate': '1.78e-05', 'epoch': '0.882'}
{'loss': '0.4151', 'grad_norm': '653.6', 'learning_rate': '1.778e-05', 'epoch': '0.8881'}
{'loss': '0.396', 'grad_norm': '116.5', 'learning_rate': '1.777e-05', 'epoch': '0.8942'}
{'loss': '0.4008', 'grad_norm': '36.17', 'learning_rate': '1.775e-05', 'epoch': '0.9002'}
{'loss': '0.4034', 'grad_norm': '173', 'learning_rate': '1.774e-05', 'epoch': '0.9063'}
{'loss': '0.3283', 'grad_norm': '37.92', 'learning_rate': '1.772e-05', 'epoch': '0.9124'}
{'loss': '0.3277', 'grad_norm': '106.8', 'learning_rate': '1.771e-05', 'epoch': '0.9185'}
{'loss': '0.3993', 'grad_norm': '138.8', 'learning_rate': '1.769e-05', 'epoch': '0.9246'}
{'loss': '0.3661', 'grad_norm': '180.9', 'learning_rate': '1.767e-05', 'epoch': '0.9307'}
{'loss': '0.3595', 'grad_norm': '44.4', 'learning_rate': '1.766e-05', 'epoch': '0.9367'}
{'loss': '0.3537', 'grad_norm': '139.8', 'learning_rate': '1.764e-05', 'epoch': '0.9428'}
{'loss': '0.3622', 'grad_norm': '38.27', 'learning_rate': '1.763e-05', 'epoch': '0.9489'}
{'loss': '0.3039', 'grad_norm': '125.2', 'learning_rate': '1.761e-05', 'epoch': '0.955'}
{'loss': '0.3588', 'grad_norm': '209.5', 'learning_rate': '1.76e-05', 'epoch': '0.9611'}
{'loss': '0.4062', 'grad_norm': '87.69', 'learning_rate': '1.758e-05', 'epoch': '0.9672'}
{'loss': '0.3112', 'grad_norm': '82.5', 'learning_rate': '1.757e-05', 'epoch': '0.9732'}
{'loss': '0.3657', 'grad_norm': '59.07', 'learning_rate': '1.755e-05', 'epoch': '0.9793'}
{'loss': '0.3405', 'grad_norm': '35.15', 'learning_rate': '1.754e-05', 'epoch': '0.9854'}
{'loss': '0.3492', 'grad_norm': '47.38', 'learning_rate': '1.752e-05', 'epoch': '0.9915'}
{'loss': '0.3327', 'grad_norm': '23.19', 'learning_rate': '1.751e-05', 'epoch': '0.9976'}
{'eval_loss': '0.2936', 'eval_accuracy': '0.8817', 'eval_precision': '0.8992', 'eval_recall': '0.8747', 'eval_f1': '0.8868', 'eval_runtime': '12.12', 'eval_samples_per_second': '1072', 'eval_steps_per_second': '16.83', 'epoch': '1'}
{'loss': '0.333', 'grad_norm': '71.95', 'learning_rate': '1.749e-05', 'epoch': '1.004'}
