GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-29585563-232c-f53f-831f-ba58a4316572)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.04676', 'grad_norm': '0.4113', 'learning_rate': '1.987e-05', 'epoch': '0.663'}
{'loss': '0.01312', 'grad_norm': '0.04344', 'learning_rate': '1.987e-05', 'epoch': '0.6691'}
{'loss': '0.05477', 'grad_norm': '0.2822', 'learning_rate': '1.987e-05', 'epoch': '0.6752'}
{'loss': '0.01013', 'grad_norm': '1.543', 'learning_rate': '1.986e-05', 'epoch': '0.6813'}
{'loss': '0.04651', 'grad_norm': '1.48', 'learning_rate': '1.986e-05', 'epoch': '0.6873'}
{'loss': '0.02644', 'grad_norm': '0.03851', 'learning_rate': '1.986e-05', 'epoch': '0.6934'}
{'loss': '0.001684', 'grad_norm': '0.2349', 'learning_rate': '1.986e-05', 'epoch': '0.6995'}
{'loss': '0.04999', 'grad_norm': '0.03784', 'learning_rate': '1.986e-05', 'epoch': '0.7056'}
{'loss': '0.04611', 'grad_norm': '0.01313', 'learning_rate': '1.986e-05', 'epoch': '0.7117'}
{'loss': '0.01101', 'grad_norm': '0.006585', 'learning_rate': '1.986e-05', 'epoch': '0.7178'}
{'loss': '0.07421', 'grad_norm': '4.273', 'learning_rate': '1.986e-05', 'epoch': '0.7238'}
{'loss': '0.01421', 'grad_norm': '10.48', 'learning_rate': '1.985e-05', 'epoch': '0.7299'}
{'loss': '0.1152', 'grad_norm': '54.4', 'learning_rate': '1.985e-05', 'epoch': '0.736'}
{'loss': '0.02669', 'grad_norm': '21.21', 'learning_rate': '1.985e-05', 'epoch': '0.7421'}
